County Name,State Name,State FIPS,County FIPS,Total Deposits ($),TARP CPP Deposits ($),TARP CPP Deposits (%),Total Branches ,TARP CPP Branches,TARP CPP Branches (%),Total HMDA Loan Originations (#),TARP HMDA Loan Originations (#),TARP HMDA Loan Originations (%)
Taos County,New Mexico,35,55,374869000,0,0,10,0,0,555,274,0.4938
Torrance County,New Mexico,35,57,97734000,45633000,0.4669,4,2,0.5,158,70,0.4476
Union County,New Mexico,35,59,101702000,0,0,3,0,0,24,8,0.3636
Valencia County,New Mexico,35,61,494266000,175204000,0.3545,14,4,0.2857,1067,400,0.3749
Albany County,New York,36,1,9881043000,4593072000,0.4648,126,44,0.3492,2883,1054,0.3659
Allegany County,New York,36,3,376894000,31406000,0.0833,19,2,0.1053,241,54,0.228
Bronx County,New York,36,5,10056355000,7048958000,0.7009,134,84,0.6269,5815,2999,0.5158
Broome County,New York,36,7,2254546000,1362587000,0.6044,56,20,0.3571,1330,396,0.2983
Cattaraugus County,New York,36,9,782645000,306255000,0.3913,27,9,0.3333,539,163,0.3031
Cayuga County,New York,36,11,850432000,273699000,0.3218,23,8,0.3478,729,264,0.3625
Chautauqua County,New York,36,13,1423899000,453685000,0.3186,52,18,0.3462,818,240,0.2937
Chemung County,New York,36,15,1161059000,460789000,0.3969,25,10,0.4,775,259,0.3351
Chenango County,New York,36,17,855670000,46073000,0.0538,15,1,0.0667,326,90,0.2782
Clinton County,New York,36,19,1117953000,278413000,0.249,28,5,0.1786,630,216,0.3441
Columbia County,New York,36,21,946641000,239097000,0.2526,26,7,0.2692,796,357,0.4495
Cortland County,New York,36,23,554161000,286293000,0.5166,17,10,0.5882,619,331,0.5355
Delaware County,New York,36,25,803092000,0,0,19,0,0,411,148,0.3612
