Date,Reserve Bank credit,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Term Facility,Term Asset-Backed Securities Loan Facility,Term Asset-Backed Securities Loan Facility,Other federal reserve assets,Central bank liquidity swaps,U.S. Treasury securities
2004-02-12,729540000000,17286000000,19000000,0,9000000,,,,,,,,,,,,,,,41981000000,,668702000000
2004-02-05,732240000000,23214000000,10000000,0,13000000,,,,,,,,,,,,,,,41406000000,,667262000000
2004-01-29,728183000000,19143000000,184000000,0,14000000,,,,,,,,,,,,,,,41289000000,,667029000000
2004-01-22,738254000000,30607000000,212000000,0,11000000,,,,,,,,,,,,,,,40771000000,,666827000000
2004-01-15,729489000000,21143000000,39000000,0,6000000,,,,,,,,,,,,,,,41172000000,,666798000000
2004-01-08,743299000000,34679000000,12000000,0,11000000,,,,,,,,,,,,,,,40544000000,,666704000000
2004-01-02,746570000000,38679000000,32000000,0,33000000,,,,,,,,,,,,,,,40242000000,,666402000000
2003-12-26,739526000000,33179000000,33000000,0,37000000,,,,,,,,,,,,,,,39810000000,,666034000000
2003-12-18,731854000000,25571000000,5000000,0,32000000,,,,,,,,,,,,,,,39448000000,,665893000000
2003-12-11,731209000000,25893000000,13000000,0,24000000,,,,,,,,,,,,,,,39037000000,,665479000000
2003-12-04,734979000000,30679000000,9000000,0,26000000,,,,,,,,,,,,,,,38565000000,,664689000000
2003-11-28,729194000000,27393000000,5000000,0,42000000,,,,,,,,,,,,,,,38192000000,,663489000000
2003-11-20,727983000000,24071000000,22000000,0,43000000,,,,,,,,,,,,,,,40049000000,,661953000000
2003-11-13,722260000000,20464000000,3000000,0,48000000,,,,,,,,,,,,,,,41048000000,,660203000000
2003-11-06,725126000000,24000000000,82000000,0,53000000,,,,,,,,,,,,,,,40687000000,,658803000000
2003-10-30,726848000000,28071000000,19000000,0,71000000,,,,,,,,,,,,,,,40823000000,,657956000000
2003-10-23,721122000000,24571000000,14000000,0,86000000,,,,,,,,,,,,,,,40156000000,,656615000000
2003-10-16,722887000000,26393000000,4000000,0,98000000,,,,,,,,,,,,,,,40258000000,,656406000000
2003-10-09,715038000000,19250000000,2000000,0,125000000,,,,,,,,,,,,,,,39705000000,,656232000000
2003-10-02,727180000000,32107000000,23000000,0,155000000,,,,,,,,,,,,,,,39389000000,,656109000000
2003-09-25,717608000000,22286000000,73000000,0,163000000,,,,,,,,,,,,,,,38809000000,,655980000000
2003-09-18,721688000000,27893000000,4000000,0,158000000,,,,,,,,,,,,,,,38087000000,,655757000000
2003-09-11,715316000000,22821000000,3000000,0,155000000,,,,,,,,,,,,,,,37489000000,,654515000000
2003-09-04,725331000000,34429000000,9000000,0,157000000,,,,,,,,,,,,,,,37323000000,,653871000000
2003-08-28,715426000000,24607000000,1000000,0,156000000,,,,,,,,,,,,,,,36834000000,,653634000000
2003-08-21,726540000000,34071000000,719000000,66000000,152000000,,,,,,,,,,,,,,,37243000000,,653436000000
2003-08-14,711825000000,17679000000,7000000,0,138000000,,,,,,,,,,,,,,,40334000000,,653062000000
2003-08-07,716002000000,22500000000,21000000,0,133000000,,,,,,,,,,,,,,,39856000000,,652986000000
2003-07-31,713408000000,20857000000,1000000,0,125000000,,,,,,,,,,,,,,,40032000000,,652833000000
2003-07-24,716729000000,24250000000,4000000,0,115000000,,,,,,,,,,,,,,,39545000000,,652754000000
2003-07-17,715493000000,22893000000,6000000,1000000,107000000,,,,,,,,,,,,,,,39486000000,,652528000000
2003-07-10,718451000000,26000000000,8000000,0,91000000,,,,,,,,,,,,,,,39236000000,,652433000000
2003-07-03,719541000000,28714000000,99000000,0,89000000,,,,,,,,,,,,,,,39043000000,,652152000000
2003-06-26,717692000000,26321000000,322000000,0,84000000,,,,,,,,,,,,,,,38986000000,,651950000000
2003-06-19,713850000000,23179000000,3000000,0,71000000,,,,,,,,,,,,,,,38815000000,,651773000000
2003-06-12,713231000000,23286000000,2000000,0,61000000,,,,,,,,,,,,,,,38374000000,,651575000000
2003-06-05,716921000000,27813000000,12000000,0,64000000,,,,,,,,,,,,,,,38147000000,,651192000000
